pid,pname,pfid,phid,pgenus
609,Eucalyptus saligna,62,1,Eucalyptus
610,Eucalyptus sideroxylon,62,1,Eucalyptus
611,Eucalyptus tereticornis,62,1,Eucalyptus
612,Eucalyptus torelliana,62,1,Eucalyptus
613,Eucalyptus urophylla,62,1,Eucalyptus
614,Eucalyptus viminali,62,1,Eucalyptus
615,Eucalyptus viridiflora,62,1,Eucalyptus
616,Eugenia acapulcensis,62,1,Eugenia
617,Eugenia arenosa,62,1,Eugenia
618,Eugenia argentea,62,1,Eugenia
619,Eugenia axillaris,62,1,Eugenia
620,Eugenia bacopari,62,1,Eugenia
621,Eugenia beaurepaireana,62,1,Eugenia
622,Eugenia brasiliensis,62,1,Eugenia
623,Eugenia burkartiana,62,1,Eugenia
624,Eugenia catharinensis,62,1,Eugenia
625,Eugenia chlorophylla,62,1,Eugenia
626,Eugenia copacabanensis,62,1,Eugenia
627,Eugenia cuprea,62,1,Eugenia
628,Eugenia dimorpha,62,1,Eugenia
629,Eugenia dysenterica,62,1,Eugenia
630,Eugenia florida,62,1,Eugenia
631,Eugenia foetida,62,1,Eugenia
632,Eugenia hyemalis,62,1,Eugenia
633,Eugenia joenssonii,62,1,Eugenia
634,Eugenia klappenbachiana,62,1,Eugenia
635,Eugenia mansoi,62,1,Eugenia
636,Eugenia mattosii,62,1,Eugenia
637,Eugenia melanadenia,62,1,Eugenia
638,Eugenia moraviana,62,1,Eugenia
639,Eugenia moravianu,62,1,Eugenia
640,Eugenia multicostata,62,1,Eugenia
641,Eugenia nitida,62,1,Eugenia
642,Eugenia octopleura,62,1,Eugenia
643,Eugenia ovalifolia,62,1,Eugenia
644,Eugenia pitanga,62,1,Eugenia
645,Eugenia platysema,62,1,Eugenia
646,Eugenia pluriflora,62,1,Eugenia
647,Eugenia punicifolia,62,1,Eugenia
648,Eugenia pyriformis,62,1,Eugenia
649,Eugenia ramboi,62,1,Eugenia
650,Eugenia repanda,62,1,Eugenia
651,Eugenia rhombea,62,1,Eugenia
652,Eugenia rocana,62,1,Eugenia
653,Eugenia rottleriana,62,1,Eugenia
654,Eugenia rotundifolia,62,1,Eugenia
655,Eugenia sp.,62,1,Eugenia
656,Eugenia speciosa,62,1,Eugenia
657,Eugenia stigmatosa,62,1,Eugenia
658,Eugenia stipitata,62,1,Eugenia
659,Eugenia sulcata,62,1,Eugenia
660,Eugenia umbelliflora,62,1,Eugenia
661,Eugenia uniflora,62,1,Eugenia
662,Eugenia uruguayensis,62,1,Eugenia
663,Eugenia xiriricana,62,1,Eugenia
664,Eupatorium cannabinum,15,2,Eupatorium
665,Eupatorium capillifolum,15,1,Eupatorium
666,Eupatorium coelestinum,15,1,Eupatorium
667,Eupatorium triplinerve,15,1,Eupatorium
668,Falcaria falcarioides,11,1,Falcaria
669,Feijoa sellowiana,62,1,Feijoa
670,Feroniella lucida,84,1,Feroniella
671,Ferula assa-foetida,11,1,Ferula
672,Ferula communis,11,1,Ferula
673,Ferula galbaniflua,11,1,Ferula
674,Ferula glauca,11,1,Ferula
675,Ferula gummosa,11,1,Ferula
676,Ferula hirtella,11,1,Ferula
677,Ferula macrocolea,11,1,Ferula
678,Ferula microcolea,11,1,Ferula
679,Ferula ovina,11,1,Ferula
680,Ferula szowitsiana,11,1,Ferula
681,Ferulago angulata,11,1,Ferulago
682,Ferulago carduchorum,11,1,Ferulago
683,Ferulago confusa,11,1,Ferulago
684,Ferulago contracta,11,1,Ferulago
685,Ferulago longistylis,11,1,Ferulago
686,Ferulago phialocarpa,11,1,Ferulago
687,Ficus benjamina,56,1,Ficus
688,Fimbristylis falcata,33,1,Fimbristylis
689,Fitzroya cupressoides,32,1,Fitzroya
690,Flaveria linearis,15,1,Flaveria
691,Flourensia cernua,15,1,Flourensia
692,Foeniculum vulgare,11,1,Foeniculum
693,Foeniculum vulgare var. dulcis,11,1,Foeniculum
